Name,Position,Nat,Height,Age,Tck W,Tck R,Tck A,Shot/90,ShT/90,ShT,Shots,Svt,Svp,Svh,Ps C/90,Ps C,Ps A/90,Pas A,Off,Gl Mst,K Tck,K Ps/90,K Pas,K Hdrs,Int/90,Itc,Hdr %,Hdrs W/90,Hdrs,Drb,Dist/90,Distance,Cr C,Cr C/A,Cr A,CCC,Ch C/90,Asts/90,Aer A/90,Apps,Gls,Ast,xG,PoM,Pas %,Tck,DrbPG,Shot %,Yel,Red,Av Rat,Hdrs A,Mins,Club,Preferred Foot
Jorge Alastuey,"DM, M (C), AM (RC)",ESP,"168,00","23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0.1,"1,00","1,00","1,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Girona,Left
Anass Seddiki,"DM, M (C)",MAR,"174,00","20,00","79,00","0,79","0,00","0,39","0,11","3,00","11,00","0,00","0,00","0,00","55,44","1 572,00","64,57","1 831,00","1,00","1,00","16,00","1,20","34,00","7,00","1,06","30,00","0,35","0,46","13,00","1,00","44 663,00",350.6,"13,00","0,28","45,00","1,00","0,04","0,07","1,30",30 (3),"1,00","2,00","0,97","0,00","0,86","2,79","0,04","0,27","7,00","0,00","6,57","37,00","2 552,00",Girona,Right
Adrià Bernabé,"WB (L), M (C), AM (LC)",ESP,"172,00","25,00","23,00","0,74","0,00","1,06","0,38","5,00","14,00","0,00","0,00","0,00","35,43","470,00","40,70","540,00","1,00","1,00","4,00","1,21","16,00","4,00","1,51","20,00","0,26","0,53","7,00","3,00","44 816,00",171.8,"9,00","0,25","36,00","1,00","0,08","0,00","2,04",13 (2),"1,00","0,00","0,79","0,00","0,87","1,73","0,23","0,36","2,00","0,00","6,69","27,00","1 194,00",Girona,Left Only
Mikel Goti,M/AM (RC),ESP,"177,00","24,00","40,00","0,65","0,00","1,16","0,61","19,00","36,00","0,00","0,00","0,00","30,47","944,00","35,12","1 088,00","7,00","0,00","3,00","1,68","52,00","4,00","0,94","29,00","0,33","1,36","42,00","8,00","44 634,00",442.6,"21,00","0,21","97,00","3,00","0,10","0,26","4,13","33,00","6,00","8,00","5,02","1,00","0,87","1,29","0,26","0,53","4,00","0,00","6,74","128,00","2 788,00",Girona,Left
Daniel Portocarrero,"M/AM (C), ST (C)",PER,"183,00","20,00","17,00","0,52","0,00","2,09","1,06","33,00","65,00","0,00","0,00","0,00","25,05","780,00","28,01","872,00","9,00","0,00","0,00","0,93","29,00","37,00","0,61","19,00","0,41","3,18","99,00","3,00","44 753,00",362.8,"2,00","0,11","17,00","1,00","0,03","0,06","7,77",33 (3),"9,00","2,00","7,90","1,00","0,89","0,55","0,10","0,51","3,00","0,00","6,69","242,00","2 802,00",Girona,Right
Johan Svensson,"M/AM (C), ST (C)",SWE,"181,00","20,00","23,00","0,79","0,00","1,30","0,55","8,00","19,00","0,00","0,00","0,00","29,63","433,00","34,70","507,00","2,00","0,00","1,00","1,30","19,00","5,00","1,37","20,00","0,29","0,96","14,00","4,00","44 725,00",198.9,"2,00","0,13","15,00","0,00","0,00","0,14","3,35",12 (16),"2,00","2,00","2,46","0,00","0,85","1,57","0,27","0,42","0,00","0,00","6,64","49,00","1 315,00",Girona,Right Only
Oscar Bobb,"M (R), AM (RL)",NOR,"175,00","22,00","3,00","1,00","0,00","0,69","0,00","0,00","1,00","0,00","0,00","0,00","24,92","36,00","31,85","46,00","0,00","0,00","0,00","2,08","3,00","0,00","4,15","6,00","0,00","0,00","0,00","2,00","44 756,00","44 613,00","2,00","0,13","15,00","0,00","0,00","0,00","2,77",1 (4),"0,00","0,00","0,06","0,00","0,78","2,08","1,38","0,00","0,00","0,00","6,60","4,00","130,00",Girona,Left
Iván Alejo,"M (R), AM (RL)",ESP,"186,00","31,00","32,00","0,86","0,00","1,94","0,75","15,00","39,00","0,00","0,00","0,00","26,10","524,00","30,48","612,00","4,00","0,00","1,00","1,34","27,00","10,00","1,64","33,00","0,47","1,84","37,00","8,00","44 633,00",268.0,"15,00","0,13","115,00","1,00","0,05","0,05","3,88",19 (11),"4,00","1,00","3,39","0,00","0,86","1,59","0,40","0,38","3,00","0,00","6,67","78,00","1 807,00",Girona,Right
Óscar Clemente,M/AM (LC),ESP,"175,00","27,00","53,00","0,84","0,00","1,50","0,90","30,00","50,00","0,00","0,00","0,00","27,10","905,00","32,59","1 088,00","5,00","1,00","6,00","0,93","31,00","12,00","1,86","62,00","0,48","2,19","73,00","21,00","44 664,00",446.3,"14,00","0,12","113,00","0,00","0,00","0,21","4,55",35 (2),"4,00","7,00","4,88","0,00","0,83","1,59","0,63","0,60","5,00","0,00","6,64","152,00","3 005,00",Girona,Left Only
Fran Pérez,"M (R), AM (RL)",ESP,"181,00","23,00","24,00","0,83","0,00","0,99","0,16","2,00","12,00","0,00","0,00","0,00","23,65","288,00","28,00","341,00","4,00","0,00","2,00","0,33","4,00","4,00","1,56","19,00","0,44","1,15","14,00","5,00","44 574,00",160.1,"4,00","0,06","61,00","0,00","0,00","0,00","2,63","14,00","0,00","0,00","1,30","0,00","0,84","1,97","0,41","0,17","0,00","0,00","6,43","32,00","1 096,00",Girona,Right
Mateo Lisica,"M (L), AM (RL)",CRO,"192,00","22,00","5,00","0,56","0,00","2,89","1,37","9,00","19,00","0,00","0,00","0,00","21,78","143,00","25,89","170,00","2,00","0,00","0,00","1,07","7,00","6,00","1,98","13,00","0,45","4,42","29,00","7,00","44 634,00",94.1,"4,00","0,07","51,00","0,00","0,00","0,30","9,90",5 (13),"1,00","2,00","2,07","1,00","0,84","0,76","1,07","0,47","1,00","0,00","6,74","65,00","591,00",Girona,Left Only
Sergi Guardiola,"AM (RLC), ST (C)",ESP,"187,00","35,00","0,00","0,00","0,00","0,90","0,00","0,00","2,00","0,00","0,00","0,00","23,28","52,00","28,21","63,00","3,00","0,00","0,00","0,90","2,00","0,00","0,90","2,00","0,09","0,45","1,00","0,00","44 663,00","44 739,00","0,00","0,00","1,00","0,00","0,00","0,00","4,93",2 (2),"0,00","0,00","0,29","0,00","0,83","0,00","0,00","0,00","1,00","0,00","6,48","11,00","201,00",Girona,Left
Peru Ruiz,"AM (LC), ST (C)",ESP,"182,00","25,00","8,00","0,80","0,00","1,82","1,25","11,00","16,00","0,00","0,00","0,00","15,49","136,00","17,66","155,00","8,00","0,00","0,00","0,34","3,00","1,00","0,68","6,00","0,19","1,14","10,00","5,00","44 573,00",105.9,"1,00","0,05","17,00","1,00","0,11","0,11","5,92",7 (11),"3,00","1,00","1,66","0,00","0,88","0,91","0,57","0,69","0,00","0,00","6,57","52,00","790,00",Girona,Left
David Soria,GK,ESP,"192,00","33,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25,00","25,00","79,00","9,64","347,00","18,33","660,00","0,00","0,00","0,00","0,03","1,00","0,00","0,17","6,00","0,00","0,00","0,00","0,00","44 809,00",211.4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","36,00","0,00","0,00","0,00","1,00","0,53","0,00","0,00","0,00","0,00","0,00","6,72","0,00","3 240,00",Getafe,Right Only
Luca Zidane,GK,ALG,"181,00","28,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Getafe,Right Only
Viktor Kirchev,GK,BUL,"183,00","21,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","1,00","3,00","6,50","13,00","15,50","31,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",4.0,8.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","0,42","0,00","0,00","0,00","0,00","0,00","7,05","0,00","180,00",Getafe,Right Only
Juan Berrocal,D (C),ESP,"185,00","27,00","15,00","0,79","0,00","0,37","0,12","1,00","3,00","0,00","0,00","0,00","16,41","134,00","21,18","173,00","0,00","0,00","5,00","0,12","1,00","29,00","1,22","10,00","0,64","3,43","28,00","0,00","44 661,00",84.7,"0,00","0,00","1,00","0,00","0,00","0,00","5,39",8 (3),"0,00","0,00","0,26","0,00","0,77","1,84","0,00","0,33","1,00","0,00","6,89","44,00","735,00",Getafe,Right
Adrián Corral,D (LC),ESP,"184,00","23,00","42,00","0,86","0,00","0,37","0,12","3,00","9,00","0,00","0,00","0,00","18,05","435,00","26,56","640,00","2,00","3,00","19,00","0,29","7,00","36,00","1,20","29,00","0,57","2,37","57,00","0,00","44 630,00",247.7,"0,00","0,00","10,00","0,00","0,00","0,00","4,15",24 (3),"1,00","0,00","1,44","1,00","0,68","1,74","0,00","0,33","3,00","0,00","6,76","100,00","2 169,00",Getafe,Left Only
Lorenzo,D (RLC),ESP,"182,00","20,00","60,00","0,79","0,00","0,37","0,16","4,00","9,00","0,00","0,00","0,00","26,65","647,00","29,99","728,00","7,00","0,00","18,00","0,70","17,00","49,00","1,40","34,00","0,65","2,27","55,00","2,00",12.0,290.2,"11,00","0,12","86,00","1,00","0,04","0,08","3,50",24 (3),"0,00","2,00","0,69","0,00","0,89","2,47","0,08","0,44","4,00","0,00","6,74","85,00","2 185,00",Getafe,Right
Joris Gnagnon,"D (C), DM",FRA,"182,00","29,00","47,00","0,71","0,00","0,37","0,15","5,00","12,00","0,00","0,00","0,00","23,56","764,00","25,20","817,00","3,00","1,00","20,00","0,15","5,00","125,00","0,71","23,00","0,67","3,24","105,00","0,00","44 571,00",326.1,"2,00","0,40","5,00","0,00","0,00","0,03","4,84",32 (2),"1,00","1,00","0,71","1,00","0,94","1,45","0,00","0,42","5,00","0,00","6,84","157,00","2 918,00",Getafe,Right
Emiliano Velázquez,"D (C), DM",URU,"185,00","32,00","3,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","30,00","30,00","33,00","33,00","0,00","0,00","1,00","0,00","0,00","3,00","3,00","3,00","1,00","4,00","4,00","0,00","44 571,00","44 571,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","1,00","0,00","0,00","0,00","0,00","0,91","3,00","0,00","0,00","0,00","0,00","7,50","4,00","90,00",Getafe,Right
Jordi,"D (C), DM, M (C)",ESP,"184,00","20,00","25,00","0,71","0,00","0,24","0,08","1,00","3,00","0,00","0,00","0,00","27,39","347,00","31,89","404,00","0,00","0,00","8,00","0,63","8,00","20,00","0,95","12,00","0,69","1,97","25,00","0,00","44 753,00",147.8,"2,00","0,28","7,00","0,00","0,00","0,08","2,84",12 (7),"0,00","1,00","0,23","0,00","0,86","1,97","0,00","0,33","2,00","0,00","6,81","36,00","1 140,00",Getafe,Right Only
Yukhym Konoplya,"D (RL), WB (R), M (L)",UKR,"175,00","26,00","89,00","0,86","0,00","0,18","0,09","2,00","4,00","0,00","0,00","0,00","25,11","572,00","28,58","651,00","7,00","0,00","23,00","0,57","13,00","11,00","1,36","31,00","0,32","0,70","16,00","7,00","44 633,00",303.7,"15,00","0,10","144,00","2,00","0,09","0,04","2,20",23 (4),"0,00","1,00","0,32","0,00","0,88","3,91","0,31","0,50","6,00","1,00","6,63","50,00","2 050,00",Getafe,Right Only
Lucas Olaza,D/WB (L),URU,"173,00","31,00","36,00","0,86","0,00","0,34","0,34","3,00","3,00","0,00","0,00","0,00","27,56","241,00","32,36","283,00","5,00","0,00","8,00","0,91","8,00","2,00","1,49","13,00","0,45","1,49","13,00","1,00","44 816,00",113.2,"6,00","0,09","64,00","0,00","0,00","0,00","3,32",9 (3),"0,00","0,00","0,86","0,00","0,85","4,12","0,11","1,00","0,00","0,00","6,60","29,00","787,00",Getafe,Left
Mathías Olivera,D/WB (L),URU,"184,00","28,00","87,00","0,77","0,00","0,12","0,04","1,00","3,00","0,00","0,00","0,00","28,05","704,00","33,47","840,00","3,00","3,00","29,00","0,92","23,00","38,00","1,79","45,00","0,77","2,83","71,00","3,00","44 693,00",314.3,"12,00","0,16","73,00","2,00","0,08","0,08","3,67",25 (2),"1,00","2,00","0,14","0,00","0,84","3,47","0,12","0,33","8,00","0,00","6,74","92,00","2 259,00",Getafe,Left Only
Sivert Mannsverk,"DM, M/AM (C)",NOR,"185,00","24,00","25,00","0,71","0,00","0,66","0,37","4,00","7,00","0,00","0,00","0,00","52,41","559,00","59,53","635,00","0,00","0,00","1,00","1,41","15,00","10,00","1,03","11,00","0,52","1,41","15,00","1,00","44 664,00",142.8,"3,00","0,15","20,00","2,00","0,19","0,19","2,72",10 (4),"1,00","2,00","0,61","0,00","0,88","2,34","0,09","0,57","1,00","0,00","6,84","29,00","960,00",Getafe,Right
Nemanja Maksimović,"DM, M (C)",SRB,"184,00","31,00","76,00","0,77","0,00","0,90","0,35","11,00","28,00","0,00","0,00","0,00","43,10","1 338,00","48,80","1 515,00","0,00","0,00","7,00","1,06","33,00","36,00","1,35","42,00","0,62","1,64","51,00","4,00","44 633,00",413.4,"7,00","0,26","26,00","1,00","0,03","0,00","2,64",31 (5),"2,00","0,00","2,61","1,00","0,88","2,45","0,13","0,39","3,00","0,00","6,79","82,00","2 794,00",Getafe,Right
Carles Aleñá,"M (C), AM (RC)",ESP,"180,00","28,00","70,00","0,74","0,00","0,64","0,37","11,00","19,00","0,00","0,00","0,00","42,44","1 259,00","50,12","1 487,00","2,00","1,00","8,00","1,18","35,00","8,00","1,08","32,00","0,59","1,15","34,00","2,00","44 574,00",389.7,"23,00","0,25","89,00","3,00","0,10","0,17","1,96",31 (1),"6,00","5,00","5,30","1,00","0,85","2,36","0,07","0,58","9,00","0,00","6,64","58,00","2 670,00",Getafe,Left
Victor Kovalenko,"M/AM (C), ST (C)",UKR,"182,00","30,00","71,00","0,82","0,00","1,45","0,60","15,00","36,00","0,00","0,00","0,00","31,09","772,00","36,68","911,00","5,00","0,00","7,00","1,09","27,00","7,00","1,33","33,00","0,39","1,77","44,00","4,00","44 695,00",361.3,"12,00","0,31","38,00","1,00","0,04","0,12","4,51",27 (5),"1,00","3,00","5,36","1,00","0,85","2,86","0,16","0,42","1,00","0,00","6,71","112,00","2 235,00",Getafe,Right
Marcos Paulo,"M/AM (LC), ST (C)",POR,"185,00","25,00","34,00","0,81","0,00","1,81","0,95","11,00","21,00","0,00","0,00","0,00","24,96","289,00","30,83","357,00","3,00","0,00","1,00","1,55","18,00","4,00","2,33","27,00","0,48","2,16","25,00","9,00","44 817,00",160.9,"7,00","0,15","46,00","0,00","0,00","0,17","4,49",12 (6),"2,00","2,00","2,24","0,00","0,81","2,94","0,78","0,52","0,00","1,00","6,71","52,00","1 042,00",Getafe,Right
Daniel Podence,M/AM (RL),POR,"165,00","30,00","63,00","0,88","0,00","2,14","1,07","24,00","48,00","0,00","0,00","0,00","24,57","551,00","30,64","687,00","4,00","0,00","5,00","3,43","77,00","0,00","2,36","53,00","0,24","0,67","15,00","27,00","44 575,00",316.4,"50,00","0,20","244,00","7,00","0,31","0,22","2,81",27 (5),"5,00","5,00","5,77","2,00","0,80","2,81","1,20","0,50","2,00","0,00","6,83","63,00","2 018,00",Getafe,Right
Miguel Baeza,"M (C), AM (RLC), ST (C)",ESP,"176,00","26,00","22,00","0,81","0,00","1,87","0,52","7,00","25,00","0,00","0,00","0,00","32,09","429,00","39,73","531,00","1,00","0,00","1,00","1,80","24,00","1,00","1,87","25,00","0,25","0,67","9,00","7,00","44 665,00",192.3,"5,00","0,11","44,00","1,00","0,07","0,22","2,69",12 (14),"2,00","3,00","1,93","3,00","0,81","1,65","0,52","0,28","0,00","0,00","6,78","36,00","1 203,00",Getafe,Either
Sebastián Díaz,"M (L), AM (RL), ST (C)",CHI,"178,00","19,00","23,00","0,77","0,00","2,44","1,21","42,00","85,00","0,00","0,00","0,00","20,81","725,00","24,66","859,00","46,00","1,00","1,00","1,23","43,00","12,00","0,83","29,00","0,37","2,30","80,00","15,00","44 784,00",410.8,"17,00","0,28","60,00","2,00","0,06","0,11","6,23","35,00","16,00","4,00","12,03","5,00","0,84","0,66","0,43","0,49","0,00","0,00","6,88","217,00","3 135,00",Getafe,Left
Carlos Fernández,"AM (C), ST (C)",ESP,"186,00","30,00","2,00","1,00","0,00","2,79","1,00","5,00","14,00","0,00","0,00","0,00","24,89","125,00","29,67","149,00","2,00","0,00","0,00","1,00","5,00","4,00","0,40","2,00","0,27","2,19","11,00","1,00","44 816,00",64.9,"0,00","0,00","1,00","0,00","0,00","0,00","8,16",4 (8),"2,00","0,00","1,03","1,00","0,84","0,40","0,20","0,36","0,00","0,00","6,91","41,00","452,00",Getafe,Left
Danylo Sikan,"AM (R), ST (C)",UKR,"186,00","25,00","66,00","0,75","0,00","2,30","1,04","25,00","55,00","0,00","0,00","0,00","26,32","630,00","31,34","750,00","6,00","0,00","5,00","1,17","28,00","29,00","1,96","47,00","0,61","4,09","98,00","19,00","44 786,00",330.3,"9,00","0,07","114,00","1,00","0,04","0,00","6,73",24 (7),"9,00","0,00","6,84","2,00","0,84","2,76","0,79","0,45","1,00","0,00","6,88","161,00","2 154,00",Getafe,Right
Darío Sarmiento,"AM (LC), ST (C)",ARG,"167,00","23,00","23,00","0,92","0,00","0,86","0,62","5,00","7,00","0,00","0,00","0,00","22,10","179,00","27,90","226,00","7,00","0,00","1,00","3,09","25,00","1,00","2,10","17,00","0,26","0,62","5,00","8,00","44 575,00",114.5,"18,00","0,25","72,00","3,00","0,37","0,62","2,35",6 (13),"0,00","5,00","0,67","1,00","0,79","2,84","0,99","0,71","0,00","0,00","6,83","19,00","729,00",Getafe,Left
Dominik Greif,GK,SVK,"197,00","29,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","3,00","3,00","10,00","20,00","18,00","36,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 596,00","44 689,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","0,56","0,00","0,00","0,00","0,00","0,00","7,00","0,00","180,00",Espanyol,Right
Mauricio Arboleda,GK,COL,"185,00","30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","37,00","36,00","81,00","7,97","287,00","20,67","744,00","0,00","3,00","0,00","0,14","5,00","0,00","0,17","6,00","0,00","0,00","0,00","0,00","44 596,00",152.8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","36,00","0,00","0,00","0,00","0,00","0,39","0,00","0,00","0,00","0,00","0,00","6,84","0,00","3 240,00",Espanyol,Right
Víctor Gómez,D/WB/AM (R),ESP,"171,00","26,00","73,00","0,75","0,00","0,31","0,12","3,00","8,00","0,00","0,00","0,00","28,81","735,00","32,14","820,00","9,00","0,00","30,00","1,10","28,00","11,00","1,22","31,00","0,45","1,37","35,00","11,00","44 664,00",341.4,"35,00","0,16","212,00","3,00","0,12","0,12","3,06",26 (3),"0,00","3,00","1,21","1,00","0,90","2,86","0,43","0,38","4,00","0,00","6,77","78,00","2 296,00",Espanyol,Right
Edson Álvarez,"D (RC), DM, M (C)",MEX,"185,00","28,00","47,00","0,75","0,00","0,20","0,09","3,00","7,00","0,00","0,00","0,00","26,00","904,00","29,19","1 015,00","0,00","1,00","21,00","0,03","1,00","88,00","1,75","61,00","0,68","3,48","121,00","0,00","44 661,00",360.8,"2,00","0,40","5,00","1,00","0,03","0,03","5,15","35,00","0,00","1,00","0,54","1,00","0,89","1,35","0,00","0,43","7,00","1,00","6,88","179,00","3 129,00",Espanyol,Right
Marvin,"D/WB/M/AM (R), ST (C)",ESP,"177,00","25,00","29,00","0,74","0,00","1,61","0,88","12,00","22,00","0,00","0,00","0,00","27,41","374,00","31,37","428,00","5,00","0,00","3,00","1,32","18,00","1,00","2,27","31,00","0,33","1,10","15,00","5,00","44 695,00",197.9,"11,00","0,14","76,00","1,00","0,07","0,00","3,30",13 (12),"4,00","0,00","3,04","0,00","0,87","2,13","0,37","0,55","0,00","0,00","6,81","45,00","1 228,00",Espanyol,Right
Iñaki Iglesias,"D (RC), DM",ESP,"191,00","21,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Espanyol,Right Only
Xavi Quintillà,"D (LC), WB (L)",ESP,"179,00","29,00","54,00","0,81","0,00","0,26","0,18","5,00","7,00","0,00","0,00","0,00","27,26","747,00","29,31","803,00","2,00","0,00","18,00","0,22","6,00","38,00","1,61","44,00","0,38","1,79","49,00","0,00",11.0,301.9,"5,00","0,25","20,00","0,00","0,00","0,00","4,74",27 (4),"1,00","0,00","1,19","1,00","0,93","1,97","0,00","0,71","8,00","0,00","6,78","130,00","2 466,00",Espanyol,Left Only
Toni Lato,D/WB (L),ESP,"173,00","28,00","80,00","0,70","0,00","0,22","0,06","2,00","8,00","0,00","0,00","0,00","27,88","1 003,00","35,38","1 273,00","2,00","0,00","10,00","1,58","57,00","5,00","2,20","79,00","0,60","1,36","49,00","29,00","44 812,00",321.2,"37,00","0,29","126,00","3,00","0,08","0,03","2,25",35 (2),"1,00","1,00","0,63","0,00","0,79","2,22","0,81","0,25","1,00","0,00","7,02","81,00","3 238,00",Elche,Left
Carlos Neva,D/WB/M/AM (L),ESP,"175,00","29,00","84,00","0,81","0,00","0,16","0,06","2,00","5,00","0,00","0,00","0,00","31,16","985,00","35,02","1 107,00","9,00","1,00","22,00","1,11","35,00","19,00","1,99","63,00","0,35","1,20","38,00","3,00",13.0,412.1,"27,00","0,18","143,00","2,00","0,06","0,09","3,42",33 (1),"0,00","3,00","0,51","0,00","0,89","2,66","0,09","0,40","9,00","0,00","6,72","108,00","2 845,00",Espanyol,Left
Alejandro Pozo,"D/WB (R), M (RL), AM (RLC)",ESP,"174,00","27,00","67,00","0,74","0,00","1,69","0,93","28,00","51,00","0,00","0,00","0,00","25,43","767,00","30,33","915,00","6,00","0,00","3,00","3,18","96,00","0,00","2,25","68,00","0,24","0,76","23,00","25,00","44 787,00",446.2,"70,00","0,14","486,00","4,00","0,13","0,23","3,18","32,00","6,00","7,00","5,59","3,00","0,84","2,22","0,83","0,55","5,00","0,00","7,04","96,00","2 715,00",Espanyol,Right
Uroš Račić,"DM, M (C)",SRB,"193,00","28,00","46,00","0,82","0,00","2,14","1,28","18,00","30,00","0,00","0,00","0,00","43,18","605,00","49,39","692,00","1,00","0,00","5,00","1,86","26,00","29,00","0,50","7,00","0,48","1,93","27,00","0,00","44 817,00",195.1,"5,00","0,35","14,00","3,00","0,21","0,07","4,00",12 (15),"5,00","1,00","1,89","2,00","0,87","3,28","0,00","0,60","2,00","0,00","6,94","56,00","1 261,00",Espanyol,Right
Sergi Darder,"DM, M (C)",ESP,"180,00","32,00","65,00","0,75","0,00","0,81","0,27","8,00","24,00","0,00","0,00","0,00","55,41","1 640,00","63,31","1 874,00","0,00","1,00","8,00","1,28","38,00","8,00","0,81","24,00","0,38","0,68","20,00","0,00","44 664,00",397.7,"17,00","0,30","55,00","0,00","0,00","0,07","1,76",32 (1),"1,00","2,00","1,87","0,00","0,88","2,20","0,00","0,33","4,00","0,00","6,67","52,00","2 664,00",Espanyol,Right
Aymen Barkok,"M (C), AM (RC)",MAR,"189,00","28,00","16,00","0,70","0,00","1,51","0,60","4,00","10,00","0,00","0,00","0,00","44,24","293,00","48,93","324,00","0,00","0,00","2,00","1,81","12,00","5,00","0,76","5,00","0,58","2,11","14,00","1,00","44 695,00",96.2,"2,00","0,22","9,00","1,00","0,15","0,15","3,62",3 (17),"0,00","1,00","0,92","0,00","0,90","2,42","0,15","0,40","0,00","0,00","6,74","24,00","596,00",Espanyol,Right
Darko Gyabi,M/AM (C),ENG,"198,00","22,00","53,00","0,84","0,00","1,35","0,44","12,00","37,00","0,00","0,00","0,00","45,60","1 249,00","52,83","1 447,00","1,00","1,00","9,00","1,68","46,00","66,00","1,39","38,00","0,71","1,94","53,00","1,00",14.0,382.7,"15,00","0,34","44,00","5,00","0,18","0,47","2,74",29 (2),"1,00","13,00","2,13","2,00","0,86","1,94","0,04","0,32","1,00","0,00","6,98","75,00","2 465,00",Espanyol,Right
Matías Vargas,"M (L), AM (LC)",ARG,"168,00","29,00","48,00","0,76","0,00","1,69","0,77","21,00","46,00","0,00","0,00","0,00","31,99","870,00","38,90","1 058,00","5,00","1,00","4,00","2,13","58,00","1,00","2,68","73,00","0,23","0,59","16,00","16,00","44 665,00",392.5,"29,00","0,17","162,00","2,00","0,07","0,18","2,54","28,00","8,00","5,00","5,88","0,00","0,82","1,76","0,59","0,46","2,00","0,00","6,84","69,00","2 448,00",Espanyol,Right
Robert Navarro,"M (C), AM (RLC)",ESP,"178,00","24,00","2,00","0,50","0,00","1,78","0,89","1,00","2,00","0,00","0,00","0,00","23,17","26,00","26,73","30,00","0,00","0,00","0,00","4,46","5,00","1,00","1,78","2,00","0,00","0,00","0,00","0,00","44 576,00",17.0,"1,00","0,50","2,00","1,00","0,89","0,00","1,78",1 (3),"0,00","0,00","0,17","0,00","0,87","1,78","0,00","0,50","0,00","0,00","6,70","2,00","101,00",Espanyol,Right
Nico Melamed,"M (LC), AM (RLC), ST (C)",ESP,"173,00","25,00","42,00","0,71","0,00","2,47","1,22","42,00","85,00","0,00","0,00","0,00","29,00","1 000,00","33,79","1 165,00","5,00","0,00","2,00","1,80","62,00","2,00","1,83","63,00","0,33","1,28","44,00","14,00","44 576,00",519.0,"10,00","0,12","81,00","3,00","0,09","0,12","3,92","36,00","15,00","4,00","13,87","2,00","0,86","1,22","0,41","0,49","0,00","0,00","7,05","135,00","3 103,00",Espanyol,Right
Mario Soriano,"M (LC), AM (L), ST (C)",ESP,"164,00","24,00","55,00","0,74","0,00","0,86","0,66","22,00","29,00","0,00","0,00","0,00","23,53","790,00","33,89","1 138,00","25,00","0,00","8,00","1,55","52,00","6,00","1,19","40,00","0,12","0,24","8,00","4,00",8.0,267.6,"46,00","0,24","185,00","7,00","0,21","0,12","1,94",35 (2),"8,00","4,00","3,65","2,00","0,69","1,64","0,12","0,76","2,00","1,00","6,96","65,00","3 022,00",Alavés,Left
Jesús María Gómez,M/AM (L),ESP,"174,00","20,00","5,00","0,83","0,00","1,82","1,22","2,00","3,00","0,00","0,00","0,00","21,28","35,00","26,76","44,00","0,00","0,00","0,00","2,43","4,00","0,00","1,82","3,00","0,00","0,00","0,00","2,00","44 727,00","44 737,00","2,00","0,33","6,00","0,00","0,00","0,00","1,22",1 (2),"0,00","0,00","0,42","0,00","0,80","3,04","1,22","0,67","0,00","0,00","6,73","2,00","148,00",Espanyol,Left Only
Raúl De Tomás,"AM (RLC), ST (C)",ESP,"180,00","31,00","14,00","0,64","0,00","1,73","0,58","5,00","15,00","0,00","0,00","0,00","23,97","208,00","28,46","247,00","6,00","0,00","0,00","1,84","16,00","4,00","1,50","13,00","0,21","0,92","8,00","2,00","44 725,00",118.4,"4,00","0,30","13,00","1,00","0,12","0,23","4,38",7 (10),"2,00","2,00","1,20","0,00","0,84","1,61","0,23","0,33","0,00","0,00","6,69","38,00","781,00",Espanyol,Right
